location,date,iso_code,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
United States,2026-04-13,USA,37765.0,63.0,9.0,0.0,1.29,0.0,0.026,109.469,0.004,0.0,0.18262,0.0
United States,2026-04-14,USA,37765.0,63.0,0.0,0.0,1.29,0.0,0.0,109.467,0.004,0.0,0.18261,0.0
United States,2026-04-15,USA,37765.0,63.0,0.0,0.0,1.29,0.0,0.0,109.466,0.004,0.0,0.18261,0.0
United States,2026-04-16,USA,37765.0,63.0,0.0,0.0,1.29,0.0,0.0,109.464,0.004,0.0,0.18261,0.0
United States,2026-04-17,USA,37765.0,63.0,0.0,0.0,1.29,0.0,0.0,109.463,0.004,0.0,0.18261,0.0
United States,2026-04-18,USA,37765.0,63.0,0.0,0.0,1.29,0.0,0.0,109.461,0.004,0.0,0.1826,0.0
United States,2026-04-19,USA,37765.0,63.0,0.0,0.0,1.29,0.0,0.0,109.46,0.004,0.0,0.1826,0.0
United States,2026-04-20,USA,37779.0,63.0,14.0,0.0,2.0,0.0,0.041,109.499,0.006,0.0,0.1826,0.0
United States,2026-04-21,USA,37779.0,63.0,0.0,0.0,2.0,0.0,0.0,109.497,0.006,0.0,0.1826,0.0
United States,2026-04-22,USA,37779.0,63.0,0.0,0.0,2.0,0.0,0.0,109.496,0.006,0.0,0.18259,0.0
United States,2026-04-23,USA,37779.0,63.0,0.0,0.0,2.0,0.0,0.0,109.494,0.006,0.0,0.18259,0.0
United States,2026-04-24,USA,37779.0,63.0,0.0,0.0,2.0,0.0,0.0,109.493,0.006,0.0,0.18259,0.0
United States,2026-04-25,USA,37779.0,63.0,0.0,0.0,2.0,0.0,0.0,109.491,0.006,0.0,0.18259,0.0
United States,2026-04-26,USA,37779.0,63.0,0.0,0.0,2.0,0.0,0.0,109.49,0.006,0.0,0.18258,0.0
United States,2026-04-27,USA,37789.0,63.0,10.0,0.0,1.43,0.0,0.029,109.517,0.004,0.0,0.18258,0.0
Nigeria,2026-03-27,NGA,1503.0,15.0,0.0,0.0,0.57,0.0,0.0,6.299,0.002,0.0,0.06286,0.0
Nigeria,2026-03-28,NGA,1503.0,15.0,0.0,0.0,0.57,0.0,0.0,6.299,0.002,0.0,0.06286,0.0
Nigeria,2026-03-29,NGA,1505.0,15.0,2.0,0.0,0.29,0.0,0.008,6.306,0.001,0.0,0.06286,0.0
Nigeria,2026-03-30,NGA,1505.0,15.0,0.0,0.0,0.29,0.0,0.0,6.306,0.001,0.0,0.06285,0.0
Nigeria,2026-03-31,NGA,1505.0,15.0,0.0,0.0,0.29,0.0,0.0,6.306,0.001,0.0,0.06285,0.0
Nigeria,2026-04-01,NGA,1505.0,15.0,0.0,0.0,0.29,0.0,0.0,6.305,0.001,0.0,0.06284,0.0
Nigeria,2026-04-02,NGA,1505.0,15.0,0.0,0.0,0.29,0.0,0.0,6.305,0.001,0.0,0.06284,0.0
Nigeria,2026-04-03,NGA,1505.0,15.0,0.0,0.0,0.29,0.0,0.0,6.305,0.001,0.0,0.06284,0.0
Nigeria,2026-04-04,NGA,1505.0,15.0,0.0,0.0,0.29,0.0,0.0,6.304,0.001,0.0,0.06283,0.0
Nigeria,2026-04-05,NGA,1505.0,15.0,0.0,0.0,0.0,0.0,0.0,6.304,0.0,0.0,0.06283,0.0
World,2026-04-16,,180168.0,506.0,0.0,0.0,54.0,0.29,0.0,21.84,0.007,0.0,0.06134,4e-05
World,2026-04-17,,180170.0,506.0,2.0,0.0,54.29,0.29,0.0,21.84,0.007,0.0,0.06134,4e-05
World,2026-04-18,,180170.0,506.0,0.0,0.0,54.29,0.29,0.0,21.84,0.007,0.0,0.06134,4e-05
World,2026-04-19,,180372.0,506.0,202.0,0.0,61.57,0.0,0.024,21.864,0.007,0.0,0.06133,0.0
World,2026-04-20,,180390.0,506.0,18.0,0.0,61.29,0.0,0.002,21.865,0.007,0.0,0.06133,0.0
World,2026-04-21,,180390.0,506.0,0.0,0.0,61.29,0.0,0.0,21.865,0.007,0.0,0.06133,0.0
World,2026-04-22,,180390.0,506.0,0.0,0.0,31.71,0.0,0.0,21.864,0.004,0.0,0.06133,0.0
World,2026-04-23,,180393.0,506.0,3.0,0.0,32.14,0.0,0.0,21.864,0.004,0.0,0.06133,0.0
World,2026-04-24,,180395.0,506.0,2.0,0.0,32.14,0.0,0.0,21.864,0.004,0.0,0.06133,0.0
World,2026-04-25,,180395.0,506.0,0.0,0.0,32.14,0.0,0.0,21.863,0.004,0.0,0.06133,0.0
World,2026-04-26,,180534.0,506.0,139.0,0.0,23.14,0.0,0.017,21.88,0.003,0.0,0.06132,0.0
World,2026-04-27,,180545.0,506.0,11.0,0.0,22.14,0.0,0.001,21.88,0.003,0.0,0.06132,0.0
Africa,2026-04-25,OWID_AFR,63693.0,291.0,0.0,0.0,29.43,0.0,0.0,40.857,0.019,0.0,0.18667,0.0
Africa,2026-04-26,OWID_AFR,63832.0,291.0,139.0,0.0,20.43,0.0,0.089,40.943,0.013,0.0,0.18665,0.0
Burundi,2024-07-19,,,,,,,,,,,,,
Burundi,2024-07-21,BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
